127.0.0.1 - - [06/Jul/2018:17:23:52 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:23:59 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:00 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:00 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:29 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:29 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:29 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:29 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:30 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:54 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:24:55 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:25:03 +0900] "POST /sample-web/CreateUserAction.action HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:25:03 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:25:47 +0900] "POST /sample-web/CreateUserConfirmAction.action HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:25:47 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
